Lang,Text
eng,It's a living tradition.
eng,I'm an idealist.
eng,I was an idealist.
eng,I'm a cynic.
eng,I was a cynic.
eng,"Peace is the full half of life, if not life itself."
eng,I got my first dose of the vaccine.
eng,He contracted a hernia from carrying heavy loads.
eng,That perfect idiot always wakes me up!
eng,"Never give water to a donkey, if he is not thirsty."
fra,On ne saurait faire boire un âne qui n'a pas soif.
eng,Most refused to take a side.
eng,I love cuddling with cats.
eng,My arm is sore.
eng,Some traditions are dumb.
eng,Germans are punctual.
eng,Americans are religious fanatics.
eng,Americans are optimists.
eng,All Americans think they are going to be millionaires some day.
eng,Americans always smile.
eng,Can you pick up a case of beer on your way back?
eng,Can you pick up a case of beer on the way back?
eng,There's no Tom here.
eng,I want to be a cat.
eng,It was really trippy.
eng,Tom is no Rembrandt.
eng,Tom's no Rembrandt.
eng,"What do you really, really want?"
eng,Here is a blow that I did not expect!
eng,"If we start the story in French, who knows where it will take us?"
eng,How would you put this sentence in French?
eng,How would you put it in French?
eng,How would you say it in French?
eng,What do you call it in French?
eng,I can't think of the word for it.
eng,"I can't think of the word for it. ""How would you say it in French?"""
eng,"I can't think of the word for it. ""Can you describe it?"""
eng,Dr. Seuss didn't have a doctorate.
eng,I'm not trying to nitpick.
eng,I don't think you're actually silenced.
eng,It's more nuanced than that.
eng,The enemy established a pupper state in Dogestan.
eng,They will make us regress.
fra,Ils vont nous faire régresser.
eng,It is quite clear that they are going to make us regress.
eng,Uranus is full of methane.
eng,Everything that happens to you affects me.
eng,Uranus hasn't been adequately probed.
eng,I wish I could go to a ball.
eng,I'd never been to Australia before.
eng,I'd never been to Australia before that.
eng,"We do not know if they see themselves as goats, crows or mischievous fairies."
eng,Gluten is literally seitan.
eng,I need more seitan in my life.
eng,I practically worship seitan.
eng,Every week we get together and talk about seitan.
eng,Seitan is divine.
eng,I haven't seen a straight person in three days.
eng,Sex isn't a trophy.
fra,"Foin de ce mauvais outil qui est, en plus, branlant !"
eng,"Hay to this bad tool which is, in addition, rickety!"
eng,Sex isn't a competition.
eng,I sleep on the bus.
eng,I sleep in my car.
eng,I live out of my car.
eng,I have no permanent residence.
eng,I have no permanent address.
eng,"If you do what you’ve always done, you’ll get what you’ve always gotten."
eng,"When we were children, the grown-ups carried us astride."
fra,"Quand nous étions enfants, les adultes nous portaient à califourchon."
eng,I have the hiccups.
eng,"When someone has hiccups, some tell him that he stole the cat's share of meat."
eng,What even is time?
eng,Italian and Spanish fascism arose within constitutional monarchies.
eng,That's a fairy tale.
eng,I left my earmuffs at Tom's.
eng,Those are cute earmuffs.
eng,I don't want to just restate what Tom said.
eng,"I don't like most people named Tom, except for Tom Jackson. He's the outlier."
eng,Tom Jackson will be the conference's keynote speaker.
eng,I feel like I'm always walking on eggshells when I'm with Tom.
fra,Ma branche a été entraînée quand la tienne a cassé.
eng,My branch was pulled when yours broke.
eng,I have an invisible disability.
eng,I have an invisible illness.
eng,Tom was very unhelpful.
eng,Indentured servitude and chattel slavery are two completely different things.
eng,Tom got Zucked.
eng,"Go ahead, write! And if, more of that, you translated, that would be perfect!"
fra,"Allez-y, écrivez ! Et si, en plus, vous traduisiez, ce serait parfait !"
eng,It's OK to lie to authority figures.
eng,Tom got drunk and literally fell off the wagon.
eng,Her new book takes the form of a series of vignettes.
eng,I hate drama!
eng,"If such a thing as meritocracy existed, it would be gone within a generation."
eng,Power begets power.
eng,We have five cats.
eng,We've got five cats.
eng,I like to sing to my lizard.
eng,I like to sing to my turtle.
eng,That forest is haunted.
eng,"Someone was murdered in that forest, and their ghost still haunts it."
eng,The good ol' days weren't good for most people.
eng,The good old days weren't good for most people.
eng,"Stop, Tom. It's not funny anymore."
eng,We're all gay except for Tom and Mary.
eng,We're all gay except for Tom.
eng,I haven't seen a single cat this whole trip.
eng,I don't live in Australia all year.
eng,I don't live in Australia the whole year.
eng,Do you act differently when you speak French?
eng,Can you understand Tom's French?
eng,Can you understand our French?
eng,I can't understand Tom and Mary when they speak French to each other.
eng,I can't understand Tom when he speaks French.
eng,Do you ever dream in French?
eng,Tom is a good person with a lot of flaws.
eng,Tom's a good person with a lot of flaws.
eng,Everyone has flaws.
eng,Everybody has flaws.
eng,"Everybody has flaws. ""I don't."""
eng,"Everyone has flaws. ""I don't."""
fra,Cet homme est une sommité.
eng,This man is a luminary.
eng,"We're all God's children. ""I'm not."""
eng,Consent can be revoked at any time.
eng,That was my cat typing.
eng,I can't always understand people from Australia when they speak to each other.
eng,Tom was surprised to learn that most Australians didn't speak German.
eng,I want a pet pig.
eng,Glass is an important material.
eng,"Someone drove by the house yelling ""Cocksuckers!"" in the middle of the night."
eng,They were correct.
deu,Es wurde verkauft.
eng,It has been sold.
eng,Whoever has a bee farm expects to be stung.
eng,Whoever excites wasps has only to blame himself.
eng,"To each his own cereal! Who peas, who lentils!"
fra,"A chacun ses céréales ! Qui des poix, qui des lentilles !"
fra,"L’odeur de la terre après la pluie, on appelle ça le pétrichor."
fra,L'action des eaux d'infiltration a oxydé et rubéfié le sol.
fra,Des dorades fraîches se rubéfient sur les braises du foyer.
fra,Une goutte de sang frais et vif rubéfiait ses lèvres.
fra,L'ophiolâtrie de l’Égypte ancienne explique qu'un grand nombre de divinités étaient représentées par des serpents.
fra,Les pertuis de la Seine se voyaient au loin.
fra,Ce diamant était translucide.
fra,Elle avait un manuscrit plus tendre et pellucide que le papier.
fra,Le miel est un bon lénitif pour la gorge.
fra,"À mon humble avis, ce scénario est lénifiant."
fra,Je suis frappé par les majestueuses ocelles des plumes caudales du paon.
fra,Les cimes alpines se détachent sur les espaces cérulés.
fra,Sentez-vous fluer vers vous les parfums d'alentour ?
fra,La petite fontaine fluait à cinq pas devant la porte de chez nous.
fra,Le navire était visible et reconnaissable à son beaupré saillant.
fra,Nos souvenirs immarcescibles ne nous quitteront jamais.
fra,"Nous habitons une maison faite d'adobes, des briques de terre crue séchées au soleil."
fra,"À traiter les gens sans aménité, il a fini par s'isoler pour de bon."
fra,"Sur cet échange d'aménités, les deux adversaires, pourtant amis autrefois, se séparèrent irrémédiablement."
fra,L'aménagement d'aménités environnementales en zone urbaine engendre une hausse du prix de l'immobilier.
fra,Au printemps la frondaison est toujours au rendez-vous.
fra,J'ai horreur de cette exubérante frondaison urbaine.
fra,Elle gisait sur les marches du vaste péristyle en pierre.
fra,"La prune est une drupe à peau fine et lisse, généralement recouverte de pruine."
fra,L'Algérie se venge en clabaudant sur les Kabyles.
fra,Les abonnés connaissent trop ce genre littéraire et ne lisent plus ces tartines azymes.
fra,Peut-on utiliser les égrégores pour changer l’état vibratoire de la planète ?
fra,J'avance en franc-tireur.
fra,Le lecteur est happé dans le roman par une série d'hypotyposes.
fra,Sa santé s'étiole depuis quelque temps.
fra,"Mathieu resta seul maître du comté, lui qui s'était reconnu l'homme-lige du roi."
fra,J'aimerais bien brasiller un peu de viande pour le dîner.
fra,La fusillade brasille depuis tout à l'heure.
fra,Ses beaux yeux brasillaient.
fra,J'admirais le brasillement de la voie lactée pendant que je bivouaquais.
fra,Dans ses yeux il y avait comme un brasillement de haine.
fra,Votre thérapie m'a sauvé d'une épouvantable assuétude.
fra,"L'assuétude au jeu, la toxicomanie et l'alcoolisme augmentent l'exclusion sociale."
fra,"Hé bien mon cher, ta remarque est radiante !"
fra,La radiance de l'horizon se rapprochait.
fra,L'éclair du désir m'envahissait et la radiance de l'extase m'enivrait pour toujours.
fra,Un char attelé de deux dragons ailés et ignivomes.
fra,Les mots « enfant » ou « élève » sont des noms épicènes.
fra,Quel bonheur crural que de faire du vélo !
fra,Quel barnum !
fra,Le mariage eut finalement lieu sous un barnum à l'abri de la pluie.
fra,Les musulmans et les juifs sont abstèmes.
fra,"Même en France, pays du bien manger et bien boire, le nombre d'abstèmes est croissant."
fra,J'ai commis un péché véniel.
fra,Ce n'est qu'un péché véniel !
fra,Ces maudites bestioles brouissent les fleurs de nos vergers.
fra,C'est du gazon broui par le soleil et le gel.
fra,Le ciel munificent pourvoit à tous nos besoins.
fra,Il dépensait toutes les rentes ecclésiastiques en munificences et en fêtes.
fra,Il l'a criblée de lazzis après l'avoir escroquée.
fra,Son amour oblatif l'a privé de tout.
fra,Cette documentation oblative est uniquement réservée à la direction.
fra,Je crains qu'il soit atteint de satyriasis.
fra,"Nos sentiments, même les plus indurés, sont mobiles et flexueux."
fra,Elle a bien enduré les affres de la vie.
fra,Le bois du saule est flexueux.
fra,Je me promenais parmi les stères de bois empilées et les tas de ramille.
eng,You must be Tom Jackson.
eng,Are you Tom Jackson?
fra,"Sa femme, qu'il avait réduite à un ilotisme complet, a dû en souffrir."
fra,"Nous serons très prochainement, nous occidentaux, domestiqués, ilotisés et réduits en servitude."
fra,Le nouveau venu fait preuve d'une humilité de bon aloi.
fra,L'attentisme de ce parti est vraiment exécrable !
fra,"Frondeur avant l'heure, il a toujours tenu tête à sa hiérarchie."
eng,There are subliminal messages hidden all over Boston.
eng,The subliminal messages don't affect Tom because he doesn't understand French.
fra,"Sa première tentative a échoué, il tente le record derechef."
fra,"À la tombée du jour, les oiseaux chantent leur mélopée."
fra,L'état désastreux de la voirie témoigne de l'incurie des pouvoirs publics.
fra,Il existe chez le chien des lignées anoures.
fra,La grenouille appartient à la classe des batraciens et à l’ordre des anoures.
fra,L'inédie dégrade inévitablement la santé de ceux qui la pratiquent.
fra,"Posant blouse et stéthoscope, le médecin se métamorphose en cynégète."
fra,"Le chien de chasse, auxiliaire essentiel du cynégète depuis des millénaires."
fra,La Sologne est la plus belle région cynégétique de France.
fra,C'est une réserve cynégétique et halieutique très réputée.
eng,Humans are silly.
eng,Maestri Dil Sono was a good Ido-language music project.
eng,"You're cute. ""No, you're cute."" ""No, you're cute!"" ""No, you're cute!"" ""OK, I'm cute."""
eng,This car was bought last year from someone; it had cost a fortune.
fra,Cette voiture a été achetée l'année dernière chez quelqu'un ; elle a coûté une fortune.
eng,That's a hot take if I've ever seen one.
eng,Satanism is just inverted Christianity.
eng,Our cat is always complaining.
eng,"You're really drunk, aren't you?"
eng,"You're hammered, aren't you?"
eng,It's the rat race!
fra,C'est la foire d'empoigne !
eng,The cat purred.
eng,Tom's a deadbeat.
eng,"You know Tom. Gay, furry, French speaker. Fursona is a possum. Ring a bell?"
eng,"You know Tom. Six foot seven, big glasses. His boyfriend's John."
eng,"You know Tom, don't you? John's his boyfriend."
eng,"You know Tom, don't you? John's his husband."
eng,I'm a fuckup.
eng,It's off the books.
eng,Cats have sandpaper tongues.
eng,Cats' tongues are covered in little hooks made of keratin.
eng,Tom was brought before the Central Committee.
eng,Tom was brought in front of the Central Committee.
eng,Do I smell?
eng,Do I smell funny?
eng,I have an oat spikelet across my throat.
fra,J'ai un épillet d'avoine en travers de la gorge.
fra,La nutation de l'axe de la terre est continuelle.
fra,Il tira flamberge pour l'ultime duel.
fra,Elles avait des ongles opalisés.
fra,Il passait par-dessus les échaliers.
fra,"La tâche les a usés, ils sont morts, tombés en javelle."
fra,Cette fois-ci il a fait preuve de mansuétude.
fra,Il portait un chandail caroubier.
fra,Il a mis son burnous couleur de caroube.
fra,Il était maigre et sec comme une caroube.
fra,Il est très réactif aux cours.
fra,Ce n'est qu'une pochade.
fra,"Cthulhu, quel nom tumescent !"
fra,"Dans mon jardin, il y avait une fleur à corolle infundibuliforme."
fra,Elle avait de belles lèvres corallines.
fra,J'ai mangé des cerneaux après les avoir épluchés.
fra,Un vaisseau interlope faisait escale à ce port.
fra,Le réalisateur Hitchcock faisait un cameo dans chacun de ses films.
eng,They say March goes in like a lion and out like a lamb.
eng,I can't drink this coffee.
eng,This coffee is too weak.
eng,Have you ever seen Tom actually speak French?
eng,Have you ever actually seen Tom in Boston?
eng,"No, we're not together. Just friends."
eng,Have you ever actually seen Tom speak French?
eng,We have ways of making you talk.
eng,I'm named after my grandmother.
eng,I'm named after my late grandmother.
eng,I'm named after my grandfather.
eng,I'm named after my late grandfather.
eng,I'm named after my ancestor.
eng,American mangoes aren't very good.
eng,I don't watch sportsball.
eng,Shoplifting is cool.
eng,Shoplifting is good.
eng,I'm not sure what to say to that.
eng,Tom's out of control.
eng,It's been deleted from the logs.
eng,Why are there cats in here?
eng,Why aren't there any cats in here?
eng,I'm never going to give you up.
eng,Tom's cat hissed at Mary.
eng,"People need to hear your perspective, however unfashionable it may be."
eng,Would you like a bib?
eng,It's hard for me to get the cadence right when I speak Spanish.
eng,Big Data is striving for omniscience.
eng,Shoplifting is fun.
eng,I've heard that shoplifting is fun.
eng,I'm not too worried about it.
eng,"Nation shall not lift up sword against nation, neither shall they learn war any more."
eng,"They shall beat their swords into plowshares, and their spears into pruning hooks."
eng,I smell a skunk.
eng,I have anxiety.
eng,I have severe anxiety.
eng,I have generalized anxiety disorder.
eng,I don't own a surfboard.
eng,Everyone except for Tom brought a surfboard.
eng,Mary's skirt was covered in an intricate pattern.
eng,Tom used what John told him as leverage.
eng,Leverage your strengths.
eng,We need leverage if we're going to lift this.
eng,Care for a game of badminton?
eng,What's the difference between badminton and tennis?
fra,Ça ne mange pas de pain !
eng,It doesn't cost much!
eng,Who told you to let Tom leave?
eng,Who told you to let Tom in?
eng,Who told you to let Tom out?
eng,Who let Tom out?
eng,Who let Tom leave?
eng,Who let Tom go?
eng,Who told you to let Tom go?
eng,Our common language is Esperanto.
eng,Our common language is French.
eng,Trump went out of his way to exacerbate the pandemic at every opportunity.
eng,"I think, therefore I drink."
eng,A broken clock is right twice a day.
eng,I can attest to his innocence.
eng,We stayed in a quaint bed and breakfast by the sea.
eng,Didn't you know that bodies decompose?
eng,I've never heard of someone stealing a muffler from a car before.
eng,The indefinite article is used before countable nouns.
eng,I'm not really willing to shell out $400 for a pair of headphones.
eng,Take off your tinfoil hat.
eng,My taste buds are tingling!
eng,I always brought a packed lunch with me to school.
eng,You can hook your computer up to the router with an ethernet cable.
eng,He's not even 30 and he has a receding hairline.
eng,His brother scrubbed the pan with a Brillo pad.
eng,He bought a mini fridge for his dorm room.
eng,Mice have been getting into his apartment through a hole in the wall.
eng,He was very influential and was known as a major player in the industry.
eng,Some birds migrate to roost during specific seasons.
eng,Her seasickness wasn't helped by the choppy sea.
eng,Marijuana is now legal in New York State.
eng,Tom was baptized by triple immersion.
eng,The priest read the prayers of absolution over Tom after hearing his confession.
eng,Tom listened attentively to the priest's homily.
eng,Tom's spiritual father told him to receive Communion at least twice during the fast.
eng,You deserve good things.
eng,I deserve good things.
fra,Suppliez-moi pour que je mange.
eng,Beg me to eat.
fra,"Si tu ne descends pas, c'est moi qui monterai."
eng,"If you don't come down, I'll be the one going up."
eng,This composition is in the key of A-minor.
eng,Tom has been sitting in the other room noodling on his guitar all afternoon.
eng,I think what Tom's doing is wrong.
eng,I think that what Tom's doing is wrong.
eng,Tom's the talk of the town.
fra,"Ou tu te tues, ou je vais me faire veuve."
eng,I don't believe Tom's stories about Boston.
eng,Either you kill yourself or I'll make sure to be widowed.
eng,Tom was my son.
eng,Tom was my husband.
eng,Tom was my father.
eng,Tom is always the victim.
eng,Tom's always the victim.
eng,I could never really get into jazz.
eng,The song has an interesting melodic line.
eng,"We should build bridges, not walls."
eng,What makes a great musician?
eng,You can't win if you don't play.
eng,You can't win the lottery if you don't buy a ticket.
eng,"Huh? ""Nothing, I just coughed. That was all."""
fra,Elles étaient empuanties par le remugle lourd et gras des caniveaux.
fra,"Elle tira son couteau de sa poche, un eustache à manche de corne."
fra,Ils musardaient dans les rues d'Azeffoun.
fra,"Pour obtenir la saveur umami, il te faut cuisiner chinois."
fra,Il tombait sur ma tête des feuilles cordiformes.
fra,Je passais de longs jours alcyoniens dans un beau village kabyle.
fra,La vie est une éternelle inchoation.
fra,Leur style est rempli d'ornements oiseux.
fra,Ton temps est passé !
fra,Les perches se perdaient dans les méandres fluviatiles de la Manche.
fra,J'habite dans une région fluviatile.
fra,Je regardais le mur où ventoyait le lierre.
eng,The lion roared ferociously.
eng,I dropped a piece of tofu and my cat ate it.
eng,I woke up with my cat's butt in my face.
eng,Broken people find each other.
eng,I don't understand why Tom would want to go back to Boston after all that.
eng,I don't understand why Tom wants to go back to Boston after all that.
eng,Was that today or yesterday?
eng,Was that yesterday or the day before?
eng,Tom turned into a donkey.
eng,A group of about 40 counterprotesters showed up to the rally.
eng,I hate my brain.
eng,They accused him of promoting Nestorianism in his works.
eng,They know they're wrong.
eng,It should be arriving Friday.
eng,"Sound and signification, form and function, are inseparable in the life of language."
eng,Tom did a dab to celebrate the legalization of cannabis in New York.
eng,"If we alter the construction of such sentences, the missing antecedent is often restored."
eng,I'm not sure what I'm going to have for dinner.
eng,I heard they gave you a medal.
eng,Trust in God but lock your car.
eng,Trust God but lock your car.
eng,"In North America, the word ""sherbet"" refers to a sorbet with milk."
eng,Is it impossible or just difficult?
eng,Is it impossible or just hard?
eng,Not all swallows are migratory.
eng,How do we know we can trust you?
eng,I think they did you a great disservice.
eng,Mary and Alice are Tom's mothers.
eng,Tom and John are Mary's fathers.
eng,Just pull the wishbone apart while making a wish.
eng,Getting her to study English is like pulling teeth.
eng,Empty the coffee grounds after you're done brewing.
eng,Geese were honking loudly as they flew overhead.
eng,Tom wears his hat backwards.
eng,I usually use a French press to make coffee.
eng,Tom said he wasn't into chick flicks.
eng,You're going to have to delve deeper if you want to get to the truth.
eng,What's in the secret sauce?
eng,Tom hasn't been clued in yet.
eng,The comment didn't go over well with her parents.
eng,Tom had the sense to get out of there before things turned sour.
eng,Tom was lobotomized.
eng,Hedgehogs have quills.
eng,Tom's studio smells like turpentine.
eng,Tom regularly cleaned his ears out with Q-tips.
eng,Tom is secretly a robot.
eng,Spanish is closer to Portuguese than it is to Catalan.
eng,Find me a pizza.
eng,Tom is a paladin.
eng,Tom's character is a paladin.
eng,He fled to Canada to dodge the draft.
eng,It's safe to say he won't be invited back any time soon.
eng,Happy Margaret Thatcher Death Day!
eng,Tom likes dipping cookies in milk.
eng,Tom dunked the Oreo in milk for too long and it became soggy.
eng,Tom got so angry that he flipped off the other driver.
eng,"Tom didn't say anything, but he made an obscene gesture before walking away."
eng,Tom was seen on surveillance camera footage stuffing merchandise down his pants.
eng,Someone stole the manhole cover.
eng,The captain had the unsuccessful mutineers flogged.
eng,"When learning Russian, it's important to understand the difference between perfective and imperfective verbs."
eng,The voices in Tom's head speak French.
eng,Royalty shouldn't exist.
eng,Tom declared himself King of Australia.
eng,A woman's place is wherever she wants to be.
eng,Now I know exactly what to get you for your birthday.
eng,It's a bad addiction and I need to quit for good.
eng,Tom practices self-flagellation.
eng,Binging and purging are signs that someone may have bulimia.
eng,"After I started working full-time, a lot of my hobbies fell by the wayside."
eng,Mary could hear the sounds of muffled laughter through the wall.
eng,"No shirt, no shoes, no service."
eng,Tom deflected the blow by raising his right arm.
eng,What the fuck is wrong with people?
eng,I've had my share of run-ins with the law.
eng,Do you think you could pitch in $10 for Tom's birthday present?
eng,Tom's mind is in the gutter.
eng,It's not out of the question.
eng,I am once again asking for your financial support.
eng,"That's a hornet, not a bee."
eng,Mary can't get her headphones untangled.
eng,Their project hopes to revitalize a moribund language.
eng,Tom and Mary are such an adorkable couple.
eng,Tom's been acting a little loopy ever since he started taking that new medicine.
eng,My contribution is still pending approval.
eng,Tom installed security cameras on his property to deter thieves.
eng,Police presence in the neighborhood was increased as a measure to deter crime.
eng,Peaches are fuzzy.
eng,Childbearing isn't easy.
eng,Mary has childbearing hips.
eng,Tom struggled to lift the heavy dumbbell.
eng,"Russian nouns can be masculine, feminine, or neuter."
eng,He had a pretty gnarly gash on his arm.
eng,One of the functions of the genitive case in Russian is to denote possession.
eng,Just say no to simplistic solutions.
eng,Nationalism is dumb.
eng,Tom sold out.
eng,"Merry Mary, marry me."
eng,"Who's winning? ""We're not keeping score."""
eng,His argument was based entirely on anecdotal evidence.
eng,Affirming the consequent is an example of a formal logical fallacy.
eng,Don't overthink that.
eng,It's not warm enough out to open the window.
eng,I wish saber-toothed cats still existed.
eng,The world as we know it is probably going to end within the next century.
eng,The world as we know it is going to end within the next century.
eng,Sea levels are going to rise drastically.
eng,We're at the beginning of a global mass extinction event.
eng,Increased CO₂ levels are significantly contributing to a general lack of nutrients in our crops.
eng,Tom started a scrap metal recycling business.
eng,Tom went dumpster diving.
eng,Tom's shirt was heavily creased and in need of a good ironing.
eng,The dealer suspected Tom of counting cards.
eng,Tom learned how to count cards from his father.
eng,Tom was caught using loaded dice.
eng,I just left a hipster coffee shop in downtown Boston.
eng,I doubt that branch can support your weight.
eng,Tom's shortcut to school involved hopping a fence.
eng,The kittens are chasing each other around the house.
eng,He hopped the fence to the rail yard.
eng,Something burrowed under our fence.
eng,Someone stole the hubcaps off our car!
eng,Tom's car had no license plates.
eng,Mammography can mean the difference between life and death for millions of women.
eng,Tom bought Yanni a journal.
eng,The neighbor has a beautiful long-haired cat.
eng,Tom doesn't like new wave music.
eng,Mary only listens to new wave music.
eng,The tabby is lying on my foot.
eng,Yiddish is fun.
eng,We used to have an 8088.
eng,"By serendipity, I ran into Tom and Mary in Boston."
eng,Tom works in the registrar's office of his alma mater.
eng,Did your parents have a camcorder?
eng,How much does that dumbbell weigh?
eng,A scholar is rarely a rich man.
eng,The facsimile proved that the inscription was genuine.
eng,The facsimile here given is from the latter book.
eng,My girlfriend is doing a dab.
fra,Que peuvent bien voir les yeux si le cerveau est « aveugle » ?
eng,What can the eyes do if the brain is “blind”?
eng,I hated the 2000s.
eng,Everything was so religious.
eng,We're in orbit around a gas giant.
eng,Tom spent two years in juvenile detention.
eng,The boards are held together using only wood glue.
eng,Our equipment is very cumbersome.
eng,Making excellent products is only part of the equation.
eng,Organization is a major part of the equation.
eng,Health problems are ubiquitous.
eng,Tom ducked under the railing and stepped out into the alley.
eng,Tom's restaurant was visited by the health inspector.
eng,The floor is covered in rodent droppings.
eng,Tom became convinced that mining guano would be a lucrative business venture.
eng,The comment section is a microcosm of the larger cultural debate taking place.
eng,"Just looking through the windows, you could tell the house belonged to a hoarder."
eng,The gangs in Tom's neighborhood are engaged in a violent turf war.
eng,The heretic was anathematized.
eng,Nestorius was anathematized in 451 at the Council of Chalcedon.
eng,Tom grew up in a tenement.
eng,This jambalaya is excellent!
eng,"That's how it works, and the only way it can work."
eng,That's the only way it can work.
eng,Everyone's too busy scamming each other to save the environment.
eng,It's never been clear.
eng,Is this your pot-bellied pig?
eng,I'm always confused.
eng,I don't wear shoes.
eng,This website doesn't allow users to change their screen name.
eng,Tom used underscores instead of spaces in his screen name.
eng,Tom was tonsured a monk.
eng,He entered the novitiate.
eng,He hasn't been tonsured yet; he's a novice.
eng,The monk took a vow of silence.
eng,He made the sign of the cross over his young daughter.
eng,He fasted throughout the entirety of Great Lent.
eng,Tom knows he's wrong.
eng,Tom knows he's wrong; that's the worst part.
eng,I can't hear you. The line is breaking up.
eng,These things are and always will be arbitrary.
eng,Don't eat yellow snow.
eng,There used to be lions in the Levant.
eng,There are lions in India.
eng,There used to be lions in Iran.
eng,Iraq's last lion was killed in 1918.
eng,Leave your drama at the door.
eng,Learning a language includes learning to be political.
eng,His answer was laconic.
eng,The camera came in for a closeup.
eng,Was there shrinkage or is it normally that small?
eng,Tom adjusted the opacity of the layer.
eng,Be sure to restate the question in your answer.
eng,Shrinkage may occur.
eng,Captain Jackson is in charge of the flagship.
eng,Not everything bad is literally the Holocaust.
eng,Tom's face was pallid.
eng,Noxious fumes may be present.
eng,"Her poems subvert the dominant narrative of ""Western civilization."""
eng,I didn't bring any earmuffs.
eng,This is not a thoroughfare.
eng,We're fed up with the whole debacle.
eng,Should we remove the outliers from our analysis?
eng,Your views aren't unfashionable so much as unconscionable.
eng,Tom is blissfully unaware of how unfashionable he is.
eng,Cats are not apex predators.
eng,Let me get my camcorder.
eng,Tom noticed the easel in the corner of Mary's room.
eng,There's an envoy from Australia here to see you.
eng,You're in the wrong forum.
eng,I unclogged the sink.
eng,Tom and Mary are grandfathered in at a lower rent for their apartment.
eng,Toki Pona is grandfathered in as a language without an ISO 639-3 code at Tatoeba.
eng,Tom is grandfathered in with an unlimited data plan.
eng,Tom has eleven toes.
eng,Dates are nature's candy.
eng,Are these rutabagas?
eng,What am I going to do with rutabagas?
eng,I ate a whole box of dates.
eng,You should try these apples.
eng,Ashkenaz was the Medieval Hebrew term for Germany.
eng,In Medieval Hebrew the Christian world was referred to as Edom.
eng,Slavic lands were referred to as Canaan in Medieval Hebrew.
eng,I'm hallucinating people.
eng,It's really not that important.
eng,"This last statement is true, of course."
eng,There's a dark side to optimism.
eng,I guess I'm not going anywhere any time soon.
eng,I didn't order any rutabagas.
eng,Name every capital.
eng,"Capitalist, eh? Name every capital."
eng,The benefits will be commensurate with the size of the project.
eng,Gas giants are beautifully weird.
eng,"When Tom crashed his car, the airbags deployed instantly."
eng,This car is equipped with airbags.
eng,I need to buy windshield wiper fluid.
eng,I don't want to end up having to pay an overdraft fee.
eng,He did it with the finesse we've come to expect from Tom.
eng,He's in a program for indigent patients.
eng,"Tom, you're the duster this week. Mary, you're the sweeper. I'm the dishwasher."
eng,The cat went after my feather duster.
eng,Those are dusters. We need dry erasers.
eng,Adrenochrome is not psychoactive and is easily synthesized.
eng,"Be kind, for everyone you meet is fighting a hard battle."
eng,Tom bought an airsoft gun.
eng,Airsoft guns can be dangerous.
eng,Mary's in the hospital with a pulmonary embolism.
eng,It's near what looks like a little gully.
eng,What are the industrial applications of boron?
eng,Boron is formed by cosmic ray spallation.
eng,Boron was first isolated from borax.
eng,Everything else is just filler.
eng,Most of the album is filler.
eng,Tom is John's consigliere.
eng,Tom works as a concierge.
eng,Tom works at John's hotel as a concierge.
eng,Tom's in the hospital with a pulmonary embolism.
eng,Tom likes to eat radishes whole.
eng,I always thought Rio was the capital of Brazil.
eng,I always thought Dubai was the capital of the Emirates.
eng,I always thought Istanbul was the capital of Turkey.
eng,I always thought Sydney was the capital of Australia.
eng,I always thought Almaty was the capital of Kazakhstan.
eng,I always thought Toronto was the capital of Canada.
eng,I always thought Vienna was the capital of Australia.
eng,Tom's pay was docked for making a late delivery.
eng,My boss docked my pay for leaving early.
eng,Technology is wild.
eng,Tom volunteers in a community outreach program designed to help homeless people.
eng,Outreach programs are the main source of support for at-risk teens in this community.
eng,None of our other problems are going to matter if the world becomes uninhabitable.
eng,Love changes everything.
eng,Love changes almost everything.
eng,The Pfizer and Moderna vaccines are 90 percent effective.
eng,The Pfizer and Moderna vaccines are 10 percent ineffective.
eng,You still need to wear a mask until herd immunity is achieved.
eng,God is the world champion of hide-and-seek.
eng,Tom suspects that everyone is talking about him.
eng,"That's the Indonesian flag, not the Polish flag."
eng,The package is in Queens.
eng,"These words mean different things, so don't mix them up."
eng,Tom is a dog groomer.
eng,Tom is going through withdrawal.
eng,Mary is Alice's middle name.
eng,"Thomas is John's middle name, so he goes by Tom."
eng,Tom turned his life around.
eng,I used to be homeless.
eng,The rich are like cats: they can't help but pull the strings.
eng,Your job will be to liaise with our clients.
eng,I can't believe it's going to snow tomorrow.
eng,It arrived today.
eng,It's the twentieth of April.
eng,Tom isn't French.
eng,Tom isn't Australian.
eng,Tom's not Australian.
eng,Tom's not Jewish.
eng,I forgot to ask Tom if he wanted to go to Australia.
eng,I forgot to ask Tom whether he wanted to go to Australia.
eng,You have to study a lot harder.
eng,You have to study a lot harder than that.
eng,The coffee was delicious; thank you.
eng,I love my girlfriend.
eng,I love my boyfriend.
eng,I love my partner.
eng,I love my spouse.
eng,One way cats show affection is by spending a lot of time around you.
eng,The cat coughed up a hairball.
eng,Leopold II of Belgium was a monster.
eng,Leopold II of Belgium was a psychopath.
eng,Jordan Peterson is a joke.
eng,Fuck the Queen.
eng,God smite the queen.
eng,America isn't the only imperialist power.
eng,Tom's first name is actually John; Thomas is his middle name.
eng,The cat is purring in my lap.
eng,What can I do for my cat's birthday?
